2007-04,29.6
2007-05,30.26
2007-06,29.1
2008-04,29.64
2008-05,30.55
2008-06,28.84
2009-04,30.33
2009-05,30.17
2009-06,30.0
2010-04,29.88
2010-05,31.06
2010-06,29.35
2011-04,28.77
2011-05,29.86
2011-06,28.92
2012-04,29.38
2012-05,29.52
2012-06,29.46
2013-04,28.91
2013-05,30.26
2013-06,28.4
2014-04,29.06
2014-05,30.39
2014-06,31.06
2015-04,29.58
2015-05,31.35
2015-06,29.08
2016-04,29.64
2016-05,30.87
2016-06,29.88
2017-04,29.84
2017-05,30.92
2017-06,29.56
2018-04,29.85
2018-05,31.06
2018-06,29.46
2019-04,29.72
2019-05,30.33
2019-06,30.08
2020-04,30.07
2020-05,31.02
2020-06,29.16
2021-04,29.94
2021-05,30.63
2021-06,28.56
